appid,discount,initial_price,price
2720,0,"4,99","4,99"
1522,0,0,"0,00"
962,0,0,"0,00"
2710,0,"2,99","2,99"
1520,0,"11,99","11,99"
961,0,0,"0,00"
2700,0,0,"0,00"
1510,0,"11,99","11,99"
960,0,0,"0,00"
2690,0,0,"0,00"
1507,0,0,"0,00"
959,0,0,"0,00"
60,0,"4,99","4,99"
3650,0,0,"0,00"
2680,0,0,"0,00"
1504,0,0,"0,00"
958,0,0,"0,00"
2645,0,0,"0,00"
1502,0,0,"0,00"
957,0,0,"0,00"
2640,0,"19,99","19,99"
1500,0,"11,99","11,99"
956,0,0,"0,00"
130,0,"4,99","4,99"
2635,0,0,"0,00"
1320,0,0,"0,00"
955,0,0,"0,00"
2630,0,"19,99","19,99"
1317,0,0,"0,00"
954,0,0,"0,00"
2625,0,0,"0,00"
1313,0,"9,99","9,99"
953,0,0,"0,00"
92,0,0,"0,00"
2620,0,"19,99","19,99"
1306,0,0,"0,00"
951,0,0,"0,00"
2610,0,"19,99","19,99"
1300,0,"9,99","9,99"
950,0,0,"0,00"
2600,0,"19,99","19,99"
1290,0,0,"0,00"
949,0,0,"0,00"
3800,0,"9,99","9,99"
2590,0,"4,99","4,99"
1280,0,0,"0,00"
948,0,0,"0,00"
8,0,0,"0,00"
3750,0,0,"0,00"
2550,0,"4,99","4,99"
1273,0,0,"0,00"
947,0,0,"0,00"
2545,0,"4,99","4,99"
1270,0,0,"0,00"
946,0,0,"0,00"
3720,0,"9,99","9,99"
2540,0,"4,99","4,99"
1260,0,0,"0,00"
945,0,0,"0,00"
3710,0,"7,99","7,99"
2530,0,0,"0,00"
1259,0,0,"0,00"
944,0,0,"0,00"
3700,0,"7,99","7,99"
2525,50,"4,98","2,49"
1257,0,"7,99","7,99"
943,0,0,"0,00"
3652,0,0,"0,00"
2520,0,"4,99","4,99"
1256,0,"7,99","7,99"
942,0,0,"0,00"
3900,0,"19,99","19,99"
3840,0,0,"0,00"
3820,0,0,"0,00"
3960,0,"4,99","4,99"
3730,0,"4,99","4,99"
3970,0,0,"0,00"
4000,0,"9,99","9,99"
3990,0,"4,99","4,99"
3920,0,"9,99","9,99"
3980,0,"9,99","9,99"
3910,80,"4,95","0,99"
4100,0,"9,99","9,99"
4020,0,0,"0,00"
3839,0,"4,99","4,99"
4010,0,0,"0,00"
4102,0,0,"0,00"
3838,0,"4,99","4,99"
3850,0,0,"0,00"
3810,0,0,"0,00"
3830,0,"9,99","9,99"
4330,0,0,"0,00"
4210,0,0,"0,00"
4300,0,"9,99","9,99"
4206,0,0,"0,00"
4310,0,0,"0,00"
4260,0,0,"0,00"
4440,0,0,"0,00"
4240,0,"39,99","39,99"
4320,0,0,"0,00"
4280,0,0,"0,00"
4200,0,0,"0,00"
4230,0,"39,99","39,99"
4207,0,0,"0,00"
4270,0,0,"0,00"
4410,0,0,"0,00"
4450,0,0,"0,00"
4329,0,0,"0,00"
4290,0,"3,99","3,99"
4420,0,"4,99","4,99"
4400,0,0,"0,00"
4470,0,"4,99","4,99"
4460,0,"9,99","9,99"
4560,0,"36,99","36,99"
4500,0,"19,99","19,99"
4550,0,0,"0,00"
4540,0,0,"0,00"
4520,0,"9,99","9,99"
4480,0,0,"0,00"
4610,0,0,"0,00"
4700,0,"24,99","24,99"
4530,0,"9,99","9,99"
4590,0,0,"0,00"
4770,0,0,"0,00"
4710,0,0,"0,00"
4580,0,0,"0,00"
4730,0,0,"0,00"
4600,0,0,"0,00"
4760,0,0,"0,00"
4720,0,"14,95","14,95"
4570,34,"14,98","9,89"
4800,0,"7,99","7,99"
4790,0,0,"0,00"
4808,0,0,"0,00"
4780,0,"24,99","24,99"
4810,0,0,"0,00"
4830,0,0,"0,00"
4870,75,"4,96","1,24"
4900,0,0,"0,00"
4880,75,"4,96","1,24"
4820,0,0,"0,00"
4856,75,"3,96","0,99"
4850,75,"4,96","1,24"
4931,0,0,"0,00"
4920,0,"4,99","4,99"
4940,0,0,"0,00"
5000,0,0,"0,00"
4930,0,0,"0,00"
4910,0,0,"0,00"
4890,0,"4,99","4,99"
4932,0,"4,99","4,99"
5001,0,0,"0,00"
5003,0,0,"0,00"
5002,0,0,"0,00"
5005,0,0,"0,00"
5004,0,0,"0,00"
5007,0,0,"0,00"
5006,0,0,"0,00"
5009,0,0,"0,00"
5010,0,0,"0,00"
5008,0,0,"0,00"
5011,0,0,"0,00"
5014,0,0,"0,00"
5013,0,0,"0,00"
5015,0,0,"0,00"
5012,0,0,"0,00"
5018,0,0,"0,00"
5016,0,0,"0,00"
5019,0,0,"0,00"
5017,0,0,"0,00"
5020,0,0,"0,00"
5021,0,0,"0,00"
5022,0,0,"0,00"
5023,0,0,"0,00"
5025,0,0,"0,00"
5024,0,0,"0,00"
5030,0,0,"0,00"
5027,0,0,"0,00"
5031,0,0,"0,00"
5032,0,0,"0,00"
5028,0,0,"0,00"
5036,0,0,"0,00"
5026,0,0,"0,00"
5035,0,0,"0,00"
5034,0,0,"0,00"
5033,0,0,"0,00"
5037,0,0,"0,00"
5040,0,0,"0,00"
5038,0,0,"0,00"
5039,0,0,"0,00"
5041,0,0,"0,00"
5042,0,0,"0,00"
5043,0,0,"0,00"
5044,0,0,"0,00"
5045,0,0,"0,00"
5046,0,0,"0,00"
5048,0,0,"0,00"
5047,0,0,"0,00"
5051,0,0,"0,00"
5050,0,0,"0,00"
5049,0,0,"0,00"
5052,0,0,"0,00"
5054,0,0,"0,00"
5053,0,0,"0,00"
5055,0,0,"0,00"
5056,0,0,"0,00"
5058,0,0,"0,00"
5059,0,0,"0,00"
5057,0,0,"0,00"
5062,0,0,"0,00"
5060,0,0,"0,00"
5061,0,0,"0,00"
5063,0,0,"0,00"
5064,0,0,"0,00"
5066,0,0,"0,00"
5067,0,0,"0,00"
5068,0,0,"0,00"
5069,0,0,"0,00"
5070,0,0,"0,00"
5072,0,0,"0,00"
5071,0,0,"0,00"
5073,0,0,"0,00"
5075,0,0,"0,00"
5074,0,0,"0,00"
5076,0,0,"0,00"
5078,0,0,"0,00"
5077,0,0,"0,00"
5080,0,0,"0,00"
5079,0,0,"0,00"
5081,0,0,"0,00"
5083,0,0,"0,00"
5084,0,0,"0,00"
5082,0,0,"0,00"
5086,0,0,"0,00"
5085,0,0,"0,00"
5087,0,0,"0,00"
5088,0,0,"0,00"
5090,0,0,"0,00"
5092,0,0,"0,00"
5093,0,0,"0,00"
5089,0,0,"0,00"
5095,0,0,"0,00"
