2025-08-18 01:35:08 | MainProcess | INFO | Proxy validation progress: checked=6000/35664 good=1
2025-08-18 01:35:10 | MainProcess | INFO | Proxy validation progress: checked=6500/35664 good=1
2025-08-18 01:35:10 | MainProcess | INFO | VALID PROXY [2/5000] http://27.79.206.225:16000 (checked 6514/35664)
2025-08-18 01:35:11 | MainProcess | INFO | Proxy validation progress: checked=7000/35664 good=2
2025-08-18 01:35:12 | MainProcess | INFO | Proxy validation progress: checked=7500/35664 good=2
2025-08-18 01:35:14 | MainProcess | INFO | VALID PROXY [3/5000] http://23.237.210.82:80 (checked 7999/35664)
2025-08-18 01:35:14 | MainProcess | INFO | Proxy validation progress: checked=8000/35664 good=3
2025-08-18 01:35:14 | MainProcess | INFO | VALID PROXY [4/5000] http://142.93.239.223:3128 (checked 8016/35664)
2025-08-18 01:35:19 | MainProcess | INFO | Proxy validation progress: checked=8500/35664 good=4
2025-08-18 01:35:23 | MainProcess | INFO | Proxy validation progress: checked=9000/35664 good=4
2025-08-18 01:35:27 | MainProcess | INFO | Proxy validation progress: checked=9500/35664 good=4
2025-08-18 01:35:32 | MainProcess | INFO | Proxy validation progress: checked=10000/35664 good=4
2025-08-18 01:35:37 | MainProcess | INFO | Proxy validation progress: checked=10500/35664 good=4
2025-08-18 01:35:42 | MainProcess | INFO | Proxy validation progress: checked=11000/35664 good=4
2025-08-18 01:35:47 | MainProcess | INFO | Proxy validation progress: checked=11500/35664 good=4
2025-08-18 01:35:52 | MainProcess | INFO | Proxy validation progress: checked=12000/35664 good=4
2025-08-18 01:35:56 | MainProcess | INFO | Proxy validation progress: checked=12500/35664 good=4
2025-08-18 01:35:58 | MainProcess | INFO | Proxy validation progress: checked=13000/35664 good=4
2025-08-18 01:36:02 | MainProcess | INFO | Proxy validation progress: checked=13500/35664 good=4
2025-08-18 01:36:08 | MainProcess | INFO | Proxy validation progress: checked=14000/35664 good=4
2025-08-18 01:36:12 | MainProcess | INFO | Proxy validation progress: checked=14500/35664 good=4
2025-08-18 01:36:18 | MainProcess | INFO | Proxy validation progress: checked=15000/35664 good=4
2025-08-18 01:36:22 | MainProcess | INFO | Proxy validation progress: checked=15500/35664 good=4
2025-08-18 01:36:28 | MainProcess | INFO | Proxy validation progress: checked=16000/35664 good=4
2025-08-18 01:36:32 | MainProcess | INFO | Proxy validation progress: checked=16500/35664 good=4
2025-08-18 01:36:37 | MainProcess | INFO | Proxy validation progress: checked=17000/35664 good=4
2025-08-18 01:36:42 | MainProcess | INFO | Proxy validation progress: checked=17500/35664 good=4
2025-08-18 01:36:47 | MainProcess | INFO | Proxy validation progress: checked=18000/35664 good=4
2025-08-18 01:36:52 | MainProcess | INFO | Proxy validation progress: checked=18500/35664 good=4
2025-08-18 01:36:58 | MainProcess | INFO | Proxy validation progress: checked=19000/35664 good=4
2025-08-18 01:37:02 | MainProcess | INFO | Proxy validation progress: checked=19500/35664 good=4
2025-08-18 01:37:08 | MainProcess | INFO | Proxy validation progress: checked=20000/35664 good=4
2025-08-18 01:37:10 | MainProcess | INFO | Proxy validation progress: checked=20500/35664 good=4
2025-08-18 01:37:13 | MainProcess | INFO | Proxy validation progress: checked=21000/35664 good=4
2025-08-18 01:37:15 | MainProcess | INFO | Proxy validation progress: checked=21500/35664 good=4
2025-08-18 01:37:18 | MainProcess | INFO | Proxy validation progress: checked=22000/35664 good=4
2025-08-18 01:37:21 | MainProcess | INFO | Proxy validation progress: checked=22500/35664 good=4
2025-08-18 01:37:24 | MainProcess | INFO | Proxy validation progress: checked=23000/35664 good=4
2025-08-18 01:37:27 | MainProcess | INFO | Proxy validation progress: checked=23500/35664 good=4
2025-08-18 01:37:29 | MainProcess | INFO | Proxy validation progress: checked=24000/35664 good=4
2025-08-18 01:37:31 | MainProcess | INFO | Proxy validation progress: checked=24500/35664 good=4
2025-08-18 01:37:32 | MainProcess | INFO | Proxy validation progress: checked=25000/35664 good=4
2025-08-18 01:37:34 | MainProcess | INFO | Proxy validation progress: checked=25500/35664 good=4
2025-08-18 01:37:35 | MainProcess | INFO | Proxy validation progress: checked=26000/35664 good=4
2025-08-18 01:37:37 | MainProcess | INFO | Proxy validation progress: checked=26500/35664 good=4
2025-08-18 01:37:38 | MainProcess | INFO | Proxy validation progress: checked=27000/35664 good=4
2025-08-18 01:37:39 | MainProcess | INFO | Proxy validation progress: checked=27500/35664 good=4
2025-08-18 01:37:40 | MainProcess | INFO | Proxy validation progress: checked=28000/35664 good=4
2025-08-18 01:37:42 | MainProcess | INFO | Proxy validation progress: checked=28500/35664 good=4
2025-08-18 01:37:46 | MainProcess | INFO | Proxy validation progress: checked=29000/35664 good=4
2025-08-18 01:37:51 | MainProcess | INFO | Proxy validation progress: checked=29500/35664 good=4
2025-08-18 01:37:56 | MainProcess | INFO | Proxy validation progress: checked=30000/35664 good=4
2025-08-18 01:37:58 | MainProcess | INFO | Proxy validation progress: checked=30500/35664 good=4
2025-08-18 01:37:59 | MainProcess | INFO | Proxy validation progress: checked=31000/35664 good=4
2025-08-18 01:38:04 | MainProcess | INFO | Proxy validation progress: checked=31500/35664 good=4
