2025-08-14 01:38:44 | Process-4 | INFO | App 1931040: collected 0 reviews.
2025-08-14 01:38:45 | Process-4 | INFO | Marking proxy for removal due to repeated failures: http://165.225.113.220:11462
2025-08-14 01:38:46 | Process-4 | INFO | Marking proxy for removal due to repeated failures: http://165.225.113.220:11462
2025-08-14 01:38:46 | Process-4 | INFO | App 1931070: collected 8 reviews.
2025-08-14 01:38:46 | Process-4 | INFO | App 1931050: collected 3 reviews.
2025-08-14 01:38:46 | Process-4 | INFO | App 1930430: collected 0 reviews.
2025-08-14 01:38:47 | Process-4 | INFO | App 1930390: collected 39 reviews.
2025-08-14 01:38:47 | Process-4 | INFO | App 1930420: collected 30 reviews.
2025-08-14 01:38:47 | Process-4 | INFO | App 1931130: collected 28 reviews.
2025-08-14 01:38:47 | Process-4 | INFO | App 1931080: collected 1 reviews.
2025-08-14 01:38:48 | Process-4 | INFO | Timeout -> backoff 1.9s
2025-08-14 01:38:48 | Process-4 | INFO | App 1930350: collected 6 reviews.
2025-08-14 01:38:48 | Process-4 | INFO | App 1931090: collected 54 reviews.
2025-08-14 01:38:48 | Process-4 | INFO | App 1931160: collected 3 reviews.
2025-08-14 01:38:49 | Process-4 | INFO | App 1931150: collected 3 reviews.
2025-08-14 01:38:49 | Process-4 | INFO | Marking proxy for removal due to repeated failures: http://165.225.113.220:11462
2025-08-14 01:38:49 | Process-4 | INFO | App 1931250: collected 0 reviews.
2025-08-14 01:38:49 | Process-4 | INFO | App 1931280: collected 0 reviews.
2025-08-14 01:38:49 | Process-4 | INFO | App 1931180: collected 100 reviews.
2025-08-14 01:38:49 | Process-4 | INFO | App 1931190: collected 2 reviews.
2025-08-14 01:38:49 | Process-4 | INFO | App 1931290: collected 0 reviews.
2025-08-14 01:38:49 | Process-4 | INFO | App 1931300: collected 0 reviews.
2025-08-14 01:38:49 | Process-4 | INFO | App 1931200: collected 13 reviews.
2025-08-14 01:38:50 | Process-4 | INFO | App 1931310: collected 0 reviews.
2025-08-14 01:38:50 | Process-4 | INFO | App 1931320: collected 0 reviews.
2025-08-14 01:38:50 | Process-4 | INFO | App 1931360: collected 0 reviews.
2025-08-14 01:38:50 | Process-4 | INFO | App 1931240: collected 100 reviews.
2025-08-14 01:38:50 | Process-4 | INFO | App 1930480: collected 0 reviews.
